id_mgn,latitude,longitude,site_id,snow_depth
301,80.05009167,-86.6926584,1,0.169
302,80.05009833,-86.6927,1,0.109
303,80.05010667,-86.6927866,1,0.106
304,80.05011,-86.6928067,1,0.054
305,80.050115,-86.6929167,1,0.078
306,80.05012,-86.6929767,1,0.11
307,80.05012333,-86.6930367,1,0.145
308,80.05013333,-86.6930733,1,0.166
309,80.05014334,-86.6931717,1,0.249
310,80.05015166,-86.693215,1,0.309
311,80.05015666,-86.69327,1,0.227
312,80.05016,-86.693325,1,0.032
313,80.05016667,-86.693395,1,0.044
314,80.050175,-86.6934534,1,0.08
315,80.05018,-86.6935117,1,0.207
316,80.05018834,-86.6935967,1,0.177
317,80.05019333,-86.6936516,1,0.167
318,80.0502,-86.6937116,1,0.162
319,80.05020833,-86.6937967,1,0.209
320,80.04997,-86.6904233,1,0.098
321,80.049985,-86.6904017,1,0.115
322,80.04999333,-86.6904183,1,0.065
323,80.05000167,-86.6903983,1,0.095
324,80.05000667,-86.6904117,1,0.035
325,80.05002333,-86.6904033,1,0.046
326,80.05002833,-86.6904017,1,0.039
327,80.05005167,-86.6904166,1,0.034
328,80.05005833,-86.6904217,1,0.045
329,80.050075,-86.6904233,1,0.053
330,80.050085,-86.6904233,1,0.125
331,80.05010333,-86.690465,1,0.098
332,80.05012,-86.690465,1,0.118
333,80.05013167,-86.690475,1,0.083
334,80.05014667,-86.6904633,1,0.097
335,80.05016,-86.6904716,1,0.067
336,80.05016833,-86.6904667,1,0.071
337,80.050185,-86.690465,1,0.104
338,80.05019166,-86.69047,1,0.076
339,80.05020833,-86.690465,1,0.104
340,80.05022167,-86.6904733,1,0.126
341,80.050245,-86.69045,1,0.052
342,80.05024166,-86.6904617,1,0.057
343,80.05025,-86.6904833,1,0.074
344,80.050265,-86.6904917,1,0.109
345,80.050285,-86.690475,1,0.077
346,80.05029333,-86.69049,1,0.053
347,80.05031,-86.6905033,1,0.059
348,80.05032166,-86.6905,1,0.092
349,80.05033,-86.6905033,1,0.167
350,80.05034833,-86.690495,1,0.145
351,80.05035834,-86.690485,1,0.098
352,80.05036833,-86.6904917,1,0.089
353,80.05037833,-86.6905,1,0.09
354,80.05039833,-86.6904767,1,0.148
355,80.05041833,-86.69049,1,0.224
356,80.05043333,-86.6904817,1,0.271
357,80.05044,-86.6904833,1,0.297
358,80.05045333,-86.6904633,1,0.22
359,80.05045833,-86.6904833,1,0.069
360,80.05047,-86.6904733,1,0.075
361,80.05049167,-86.6904917,1,0.087
362,80.05049666,-86.6904966,1,0.109
363,80.05051666,-86.6904984,1,0.135
364,80.050525,-86.6904917,1,0.155
365,80.05053833,-86.6904984,1,0.133
366,80.05055166,-86.6905183,1,0.135
367,80.050575,-86.6905566,1,0.182
368,80.05057833,-86.6905816,1,0.165
369,80.050585,-86.69059,1,0.192
370,80.05060333,-86.6905833,1,0.308
371,80.050615,-86.69062,1,0.393
372,80.05062667,-86.69063,1,0.323
373,80.05064,-86.69068,1,0.135
374,80.050655,-86.6906683,1,0.114
375,80.05066667,-86.6906517,1,0.13
376,80.05067833,-86.6906534,1,0.143
377,80.05068833,-86.690655,1,0.142
378,80.05071167,-86.690665,1,0.197
379,80.05072166,-86.6906617,1,0.213
380,80.050725,-86.69067,1,0.175
381,80.05074,-86.69067,1,0.234
382,80.05075167,-86.69069,1,0.374
383,80.05076667,-86.6907017,1,0.4
384,80.05078,-86.6907083,1,0.224
385,80.05078667,-86.690715,1,0.187
386,80.050795,-86.6907167,1,0.199
387,80.05081333,-86.6907234,1,0.192
388,80.05081667,-86.6907417,1,0.164
389,80.05083833,-86.6907883,1,0.143
390,80.05084334,-86.6907717,1,0.12
391,80.050855,-86.6908,1,0.19
392,80.050865,-86.6907867,1,0.13
393,80.05088333,-86.6907967,1,0.133
394,80.05088833,-86.6907933,1,0.141
395,80.05090333,-86.6908267,1,0.138
396,80.05092,-86.69082,1,0.125
397,80.05092333,-86.6908167,1,0.114
398,80.050945,-86.6907933,1,0.113
399,80.05095667,-86.6908084,1,0.039
400,80.05096667,-86.6908267,1,0.082
401,80.05097834,-86.6908133,1,0.092
402,80.050985,-86.6908267,1,0.087
403,80.05099833,-86.69083,1,0.117
404,80.05101334,-86.6908567,1,0.099
405,80.05102833,-86.6908567,1,0.068
406,80.05104,-86.6908733,1,0.08
407,80.05104667,-86.6908916,1,0.057
408,80.05105833,-86.69091,1,0.064
409,80.05107167,-86.690915,1,0.065
410,80.05108667,-86.6909066,1,0.087
411,80.051105,-86.6909183,1,0.057
412,80.05110833,-86.6909183,1,0.13
413,80.051125,-86.6909333,1,0.149
414,80.05113167,-86.6909283,1,0.127
415,80.051145,-86.6909316,1,0.15
416,80.051165,-86.6909233,1,0.131
417,80.05116666,-86.69093,1,0.138
418,80.05118167,-86.69095,1,0.158
419,80.051195,-86.6909583,1,0.175
420,80.05121,-86.6909884,1,0.134
421,80.05121667,-86.6909733,1,0.154
422,80.05122166,-86.691015,1,0.155
423,80.05123333,-86.690995,1,0.139
424,80.05124667,-86.6910217,1,0.161
425,80.05126,-86.69103,1,0.188
426,80.05127333,-86.6910483,1,0.208
427,80.05129,-86.6910533,1,0.132
428,80.051305,-86.69106,1,0.127
429,80.05131667,-86.6910933,1,0.123
430,80.05133333,-86.6910917,1,0.141
431,80.05134667,-86.6910917,1,0.152
432,80.05135833,-86.691105,1,0.194
433,80.05136667,-86.6911017,1,0.185
434,80.05137833,-86.6911467,1,0.152
435,80.051395,-86.69115,1,0.121
436,80.05140834,-86.6911633,1,0.119
437,80.05141667,-86.6911933,1,0.088
438,80.05142666,-86.6911933,1,0.047
439,80.05144333,-86.6911967,1,0.053
440,80.05145667,-86.6912116,1,0.067
441,80.05146667,-86.6912217,1,0.053
442,80.05147666,-86.69119,1,0.057
443,80.05148167,-86.691175,1,0.092
444,80.05150333,-86.6912116,1,0.118
445,80.05151667,-86.6912267,1,0.146
446,80.05152833,-86.6912217,1,0.153
447,80.051535,-86.6912467,1,0.132
448,80.05154334,-86.69125,1,0.097
449,80.05156,-86.69125,1,0.067
450,80.05157834,-86.6912783,1,0.112
451,80.051585,-86.6912616,1,0.114
452,80.05159666,-86.6912783,1,0.091
453,80.05162333,-86.69128,1,0.05
454,80.05162834,-86.691275,1,0.061
455,80.051635,-86.6912683,1,0.054
456,80.05164167,-86.691275,1,0.045
457,80.05165667,-86.6912917,1,0.062
458,80.05167167,-86.69131,1,0.064
459,80.05168833,-86.69133,1,0.082
460,80.051695,-86.6913416,1,0.114
461,80.05170667,-86.691365,1,0.106
462,80.05171333,-86.691385,1,0.094
463,80.05173166,-86.6913933,1,0.084
464,80.05174833,-86.6914033,1,0.11
465,80.05176167,-86.6913866,1,0.089
466,80.05176834,-86.6913917,1,0.251
467,80.05177833,-86.6914,1,0.274
468,80.05179167,-86.691415,1,0.043
469,80.05180833,-86.69144,1,0.051
470,80.05181833,-86.69145,1,0.112
471,80.05183,-86.6914617,1,0.112
472,80.05182833,-86.691445,1,0.126
473,80.05183667,-86.6914517,1,0.206
474,80.05185,-86.691465,1,0.208
475,80.05186333,-86.691465,1,0.338
476,80.051865,-86.69149,1,0.408
477,80.05188167,-86.6914833,1,0.433
478,80.05189333,-86.6915317,1,0.388
479,80.051905,-86.6915467,1,0.241
480,80.05191333,-86.6915283,1,0.252
481,80.051925,-86.6915133,1,0.171
482,80.05194167,-86.6915133,1,0.161
483,80.05195666,-86.691525,1,0.204
484,80.05196833,-86.6915267,1,0.154
485,80.05197833,-86.691515,1,0.102
486,80.05198667,-86.6915283,1,0.065
487,80.052,-86.6915383,1,0.046
488,80.05201833,-86.691565,1,0.073
489,80.05202334,-86.6915533,1,0.067
490,80.05204,-86.691545,1,0.082
491,80.05204667,-86.6915666,1,0.076
492,80.05206333,-86.691545,1,0.111
493,80.05207666,-86.6915433,1,0.09
494,80.05208667,-86.691565,1,0.088
495,80.05209167,-86.6915783,1,0.081
496,80.05210167,-86.6915783,1,0.127
497,80.052125,-86.6915833,1,0.13
498,80.05213667,-86.6915933,1,0.182
499,80.05214167,-86.69159,1,0.132
500,80.05215333,-86.6915849,1,0.219
501,80.052175,-86.6915833,1,0.165
502,80.05218,-86.6915967,1,0.11
503,80.05219167,-86.69165,1,0.095
504,80.0522,-86.691665,1,0.206
